"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT06","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-02-28",,,"0.24",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-01",,,"0.56",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-02",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-06",,,"0.13",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-07",,,"1.32",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-10",,,"0.73",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-11",,,"0.87",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-16",,,"0.67",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-21",,,"0.28",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-23",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-24",,,"0.48",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-25",,,"0.04",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-27",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-03-31",,,"0.20",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-04-01",,,"0.15",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-04-04",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-04-05",,,"0.21",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-04-06",,,"0.20",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-04-12",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-04-13",,,"0.52",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-05-16","    2","0.60",,,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-05-17",,,"0.49",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-05-18",,,"0.13",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-05-19",,,"0.14",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-05-20",,,"0.03",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-01",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-02",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-03",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-04",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-05",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-06",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-07",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-08",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-09",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-10",,,"0.79",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-16",,,"0.03",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-17",,,"0.80",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-20","    4","0.33",,,"0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-21",,,"0.05",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2011-06-22",,,"0.02","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-23",,,"0.00","0.0","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-24",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-25",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-26",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-27",,,"0.75",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-28",,,"0.04",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-29",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-30",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-03-31",,,"0.00","0.0","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-01",,,"0.03",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-02",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-03",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-04",,,"0.28",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-05",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-06",,,"0.00","0.0",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-07",,,"0.04","0.0","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-08",,,"0.27",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-09",,,"0.13",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-10",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-11",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-13",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-14",,,"0.16",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-15",,,"0.48",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-16",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-17",,,"0.09",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-18",,,"0.01",,,,,,,,,,
